repere;page1;page2;page3;theme1;theme2;theme3

24-NSI0A;2-5;6-9;10-14;Architecture,OS,Réseau;Liste,Dictionnaire,Dichotomie;Graphe,SQL
24-NSI0B;2-4;5-8;9-14;Récursivité,Programmation Dynamique;OS,Processus;Liste,Dictionnaire,POO,SQL
24-NSIJ1AN1;2-5;6-8;9-13;Processus,POO,File;Graphe,Récursivité;Liste,Dictionnaire,SQL
24-NSIJ2AN1;2-4;5-7;8-12;Liste,Tri,Récursivité;SQL;Réseau,POO,Liste chaînée
24-NSIJ1G11;2-3;4-6;7-11;Graphe,Récursivité,File;Réseau;SQL,POO
24-NSIJ2G11;2-5;6-8;9-14;POO,Récursivité;OS,Arbre binaire,POO,Récursivité;Binaire,SQL
24-NSIG11BIS;2-4;5-8;9-13;POO,Algorithmique;Réseau;Liste,Dictionnaire,Algorithmique,SQL
24-NSIJ1JA1;2-5;6-11;12-14;POO,Algorithmique,Glouton;Graphe,Récursivité;POO,SQL
24-NSIJ2JA1;2-4;5-7;8-12;Diviser pour régner,Récursivité,Liste,Dictionnaire;Pile,Algorithmique;SQL,Récursivité
24-NSIJ1ME1;2-5;6-8;9-15;POO,Graphe,File;SQL,Réseau;POO,Algorithmique,ABR
24-NSIJ2ME1;2-4;5-8;9-15;SQL,Chiffrement;POO,Algorithmique,Glouton,Récursivité;POO,Graphe,Algorithmique,Récursivité
24-NSIJ1PO1;2-5;6-7;8-11;Réseau,Binaire,Récursivité,Graphe;Algorithmique,Récursivité,Programmation Dynamique;Algorithmique,Liste,SQL
24-NSIJ2PO1;2-5,16;6-9;10-15;Graphe,File,Pile,Algorithmique;ABR,POO,Récursivité;Réseau,SQL,Algorithmique
24-NSIJ1ME3;2-5;6-10;11-16;SQL,Algorithmique;Réseau,Graphe;Base,POO,Algorithmique
24-NSIJ2ME3;2-3;4-6;7-12;Décidabilité,Récursivité;Pile,POO,Algorithmique;Réseau,SQL

25-NSIJ1AN1;2-6;7-9;10-15;Arbre binaire,POO,Récursivité;POO,Glouton,Tri;SQL,Graphe,Tri,Algorithmique
25-NSIJ2AN1;2-7;8-13;14-21;Binaire,Dictionnaire,Arbre binaire,Récursivité;Algorithmique,File,Liste chaînée,POO;SQL,Graphe,Récursivité
25-NSIPE2;2-8;9-13;14-18;Programmation Dynamique,Algorithmique;Binaire,Arbre binaire,POO,Tri;POO,Graphe,SQL
25-NSIJ1JA1;2-4;5-9;10-13;Décidabilité;Algorithmique,Arbre binaire,Dictionnaire,Binaire;SQL,Algorithmique,Liste,Dictionnaire
25-NSIJ2JA1;2-5;6-8;9-14;POO,Algorithmique;POO,Processus,File;SQL,POO,Arbre binaire,Récursivité
25-NSIJ1G11;2-7;8-11;12-18;Graphe,POO,Glouton;Algorithmique,Récursivité,File;Dictionnaire,SQL,Liste,ABR
25-NSIJ2G11;2-4;5-8;9-16;SQL;Algorithmique,Récursivité,Dichotomie;Graphe,POO,Récursivité,Algorithmique
25-NSIJ1ME1;2-5;6-10;11-17;SQL;Algorithmique,Processus,POO,File;Réseau,ABR,POO,Algorithmique
25-NSIJ2ME1;2-6;7-10;10-15;Arbre binaire,Algorithmique;SQL,Algorithmique,Dictionnaire;Algorithmique,Chiffrement,Réseau
25-NSIJ1PO1;2-7;8-11;12-19;Réseau,POO;Algorithmique,Récursivité;Algorithmique,SQL
25-NSIJ2PO1;2-5;6-9;10-14;;;
